epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,17.49662693635917,17.49662693635917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06657935235909965,0.3612897232358838,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
1,val,16.79878255724907,16.79878255724907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05708263523411006,0.369683975353837,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
2,train,16.21565662195653,16.21565662195653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053248772880545366,0.3630259793726996,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
2,val,17.087625443935394,17.087625443935394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057462362688966095,0.37804630398750305,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
3,train,15.860603724978098,15.860603724978098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04986389165307269,0.3624738192362059,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
3,val,16.088684916496277,16.088684916496277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04659649956738576,0.3809678331017494,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
4,train,15.59177412810149,15.59177412810149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04703981664660291,0.3629264157618024,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
4,val,15.909400790929794,15.909400790929794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045302519865799695,0.37930495757609606,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
5,train,15.310778449101702,15.310778449101702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044288634671350566,0.36273049995487117,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
5,val,16.912725657224655,16.912725657224655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05748877301812172,0.3721282808110118,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
