epoch,total_train,total_val,total_gap_val_minus_train,recon_total_train,recon_total_val,recon_total_gap_val_minus_train,gan_total_train,gan_total_val,gan_total_gap_val_minus_train,final_l1_train,final_l1_val,final_l1_gap_val_minus_train,grad_train,grad_val,grad_gap_val_minus_train,shadow_removal_train,shadow_removal_val,shadow_removal_gap_val_minus_train,shadow_mask_train,shadow_mask_val,shadow_mask_gap_val_minus_train,shadow_penumbra_train,shadow_penumbra_val,shadow_penumbra_gap_val_minus_train,cloud_l1_train,cloud_l1_val,cloud_l1_gap_val_minus_train,cloud_kl_train,cloud_kl_val,cloud_kl_gap_val_minus_train,cloud_adv_train,cloud_adv_val,cloud_adv_gap_val_minus_train,feature_matching_train,feature_matching_val,feature_matching_gap_val_minus_train,perceptual_train,perceptual_val,perceptual_gap_val_minus_train,disc_total_train,disc_total_val,disc_total_gap_val_minus_train,disc_real_loss_train,disc_real_loss_val,disc_real_loss_gap_val_minus_train,disc_fake_loss_train,disc_fake_loss_val,disc_fake_loss_gap_val_minus_train,disc_real_gp_train,disc_real_gp_val,disc_real_gp_gap_val_minus_train
1,6.737669693949755,5.557401275092905,-1.1802684188568495,6.737669693949755,5.557401275092905,-1.1802684188568495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673766967239547,0.0555740126662633,-0.011802684057691401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2,5.649891393264864,5.282557406208732,-0.3673339870561314,5.649891393264864,5.282557406208732,-0.3673339870561314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0564989138861679,0.0528255737047981,-0.0036733401813697983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3,5.334845441561591,5.005910721692172,-0.32893471986941947,5.334845441561591,5.005910721692172,-0.32893471986941947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533484544730332,0.0500591066665947,-0.0032893478064384973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4,5.232428035969399,4.687610832127658,-0.5448172038417409,5.232428035969399,4.687610832127658,-0.5448172038417409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523242803421498,0.0468761082738637,-0.0054481720682861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5,5.242949138723017,4.595728860660032,-0.647220278062985,5.134929742288152,4.488460687073794,-0.6464690552143582,0.1080194046487319,0.1072681939060037,-0.0007512107427282005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507354067029027,0.0443033863874998,-0.006432020315402895,0.3836818047619741,0.3632630651647394,-0.020418739597234725,0.0,0.0,0.0,0.0,0.0,0.0,0.1800323336268419,0.1787803168831901,-0.0012520167436518015,,,,,,,,,,,,
6,5.257849489876984,4.773198054595427,-0.48465143528155696,5.0583510748836975,4.565311556512659,-0.4930395183710381,0.1994984075882748,0.2078865294514054,0.008388121863130593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935496163751,0.0445074678017673,-0.004847493835742699,0.3839216306577764,0.3580149639059197,-0.02590666675185671,0.0,0.0,0.0,0.0,0.0,0.0,0.1662486656953435,0.1732387678613039,0.00699010216596041,,,,,,,,,,,,
7,5.298561821654666,5.404467674818906,0.10590585316423962,5.013973752293018,5.103634151545438,0.08966039925241986,0.2845880616376524,0.3008335253054445,0.016245463667792115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483001383072739,0.0492735272273421,0.0009733889200682008,0.3832498360482195,0.3672529391267083,-0.015996896921511183,0.0,0.0,0.0,0.0,0.0,0.0,0.1581044828331251,0.1671297404576431,0.009025257624518002,,,,,,,,,,,,
8,5.376353711527787,4.972587412053889,-0.4037662994738982,5.005981732581369,4.578864295374263,-0.42711743720710604,0.3703719683743398,0.3937230945818804,0.023351126207540596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476028562184503,0.0434986374298618,-0.0041042187885885,0.3839001741704591,0.3578134301033887,-0.0260867440670704,0.0,0.0,0.0,0.0,0.0,0.0,0.1543216474855529,0.1640512823465872,0.009729634861034286,,,,,,,,,,,,
9,5.428508721360373,5.166788640347394,-0.26172008101297894,4.980935747105776,4.70541865717281,-0.27551708993296575,0.447572985874768,0.4613699919798157,0.013797006105047693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467372391521019,0.0441630311648954,-0.002574207987206499,0.3840147834669924,0.3613944693722508,-0.022620314094741634,0.0,0.0,0.0,0.0,0.0,0.0,0.1491909952839944,0.1537899983284825,0.004599003044488098,,,,,,,,,,,,
10,5.69920240410971,5.285841356624257,-0.413361047485453,5.047128891726152,4.721075345169414,-0.32605354655673846,0.6520735125202651,0.5647660123014991,-0.08730750021876599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467891920278196,0.0437710419805212,-0.0030181500472983985,0.3835517574523202,0.3583033396439118,-0.025248417808408363,0.4866754809103975,0.0,-0.4866754809103975,0.1504327428131293,0.0,-0.1504327428131293,0.1482553577181578,0.1568794525651769,0.00862409484701912,1.3263762334435725,,,0.4847382470190707,,,0.7861584805931885,,,0.0554795036913359,,
11,6.013030319038881,5.281916916370392,-0.7311134026684893,5.151787538411785,4.640193091197447,-0.5115944472143381,0.8612428022269444,0.6417238370261409,-0.2195189652008035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472195209359995,0.042392855933444,-0.004826665002555498,0.3837816315142022,0.3579531247642907,-0.025828506749911495,0.4892205631514208,0.0,-0.4892205631514208,0.1587368280737908,0.0,-0.1587368280737908,0.1461666054476838,0.1527913975614038,0.006624792113719996,1.2420747167108983,,,0.4663463720670169,,,0.7632514087978853,,,0.0124769341741725,,
12,6.1183707998433245,5.7510025609623305,-0.367368238880994,5.052884109887873,4.985739157958464,-0.06714495192940895,1.065486696973124,0.7652634251862764,-0.3002232717868476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045631114268157,0.0453436241315847,-0.0002874901365722965,0.3826349065026741,0.3526380742815407,-0.029996832221133418,0.5054204860411653,0.0,-0.5054204860411653,0.160187011146035,0.0,-0.160187011146035,0.1436089476747068,0.1594298738054931,0.015820926130786284,1.2112625394392451,,,0.4563530513088273,,,0.737392872845361,,,0.0175166180031943,,
13,6.38925399328226,5.407563458789479,-0.9816905344927811,5.10013733799669,4.596477974544872,-0.5036593634518187,1.2891166510020555,0.811085486615246,-0.4780311643868095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454917652219169,0.0408711569299074,-0.004620608292009498,0.3826116623317065,0.3537238020111214,-0.0288878603205851,0.5133412428405306,0.0,-0.5133412428405306,0.1698910993743198,0.0,-0.1698910993743198,0.1410593779512683,0.1502010126344182,0.009141634683149907,1.1981103660863477,,,0.4474961261865925,,,0.7287612064351364,,,0.0218530347006856,,
