epoch,split,seconds,sec_per_batch
1,train,218.747,0.6689510703363915
1,val,15.0,0.3409090909090909
2,train,216.554,0.6622446483180429
2,val,13.0,0.29545454545454547
3,train,215.858,0.6601162079510704
3,val,12.0,0.2727272727272727
4,train,215.648,0.659474006116208
4,val,13.0,0.29545454545454547
5,train,228.435,0.6985779816513762
5,val,15.0,0.3409090909090909
6,train,227.465,0.6956116207951071
6,val,14.0,0.3181818181818182
7,train,226.847,0.6937217125382263
7,val,14.0,0.3181818181818182
8,train,227.047,0.6943333333333334
8,val,13.0,0.29545454545454547
9,train,227.207,0.6948226299694189
9,val,14.0,0.3181818181818182
10,train,233.27,0.7133639143730888
10,val,13.0,0.29545454545454547
11,train,232.49,0.7109785932721713
11,val,13.0,0.29545454545454547
12,train,232.299,0.710394495412844
12,val,14.0,0.3181818181818182
13,train,232.807,0.7119480122324159
13,val,14.0,0.3181818181818182
14,train,232.33,0.7104892966360856
14,val,14.0,0.3181818181818182
15,train,232.595,0.7112996941896025
15,val,14.0,0.3181818181818182
16,train,232.106,0.7098042813455657
16,val,13.0,0.29545454545454547
17,train,231.901,0.7091773700305811
17,val,14.0,0.3181818181818182
18,train,231.728,0.7086483180428135
18,val,13.0,0.29545454545454547
19,train,231.832,0.7089663608562691
19,val,14.0,0.3181818181818182
20,train,231.929,0.709262996941896
20,val,13.0,0.29545454545454547
21,train,231.785,0.7088226299694189
21,val,14.0,0.3181818181818182
22,train,231.888,0.7091376146788991
22,val,13.0,0.29545454545454547
23,train,231.408,0.7076697247706422
23,val,14.0,0.3181818181818182
24,train,231.718,0.7086177370030581
24,val,14.0,0.3181818181818182
25,train,231.741,0.7086880733944955
25,val,14.0,0.3181818181818182
26,train,231.784,0.7088195718654434
26,val,14.0,0.3181818181818182
27,train,231.638,0.7083730886850154
27,val,13.0,0.29545454545454547
28,train,231.653,0.7084189602446483
28,val,13.0,0.29545454545454547
29,train,231.571,0.7081681957186544
29,val,14.0,0.3181818181818182
30,train,231.48,0.7078899082568807
30,val,13.0,0.29545454545454547
31,train,231.493,0.7079296636085627
31,val,13.0,0.29545454545454547
32,train,231.524,0.7080244648318043
32,val,13.0,0.29545454545454547
33,train,231.326,0.7074189602446483
33,val,14.0,0.3181818181818182
34,train,231.248,0.7071804281345565
34,val,14.0,0.3181818181818182
35,train,231.42,0.7077064220183485
35,val,13.0,0.29545454545454547
36,train,231.168,0.7069357798165138
36,val,14.0,0.3181818181818182
37,train,231.241,0.7071590214067278
37,val,13.0,0.29545454545454547
38,train,231.09,0.7066972477064221
38,val,13.0,0.29545454545454547
39,train,231.264,0.7072293577981652
39,val,14.0,0.3181818181818182
40,train,231.17,0.7069418960244648
40,val,13.0,0.29545454545454547
41,train,231.32,0.707400611620795
41,val,13.0,0.29545454545454547
42,train,231.254,0.7071987767584098
42,val,14.0,0.3181818181818182
43,train,231.046,0.7065626911314985
43,val,13.0,0.29545454545454547
44,train,231.042,0.7065504587155963
44,val,14.0,0.3181818181818182
45,train,231.059,0.7066024464831804
45,val,13.0,0.29545454545454547
46,train,231.152,0.7068868501529052
46,val,13.0,0.29545454545454547
47,train,230.873,0.7060336391437309
47,val,14.0,0.3181818181818182
48,train,230.99,0.7063914373088686
48,val,14.0,0.3181818181818182
49,train,231.056,0.7065932721712539
49,val,13.0,0.29545454545454547
50,train,235.191,0.7192385321100917
50,val,14.0,0.3181818181818182
