epoch,file_count,buckets_present,missing_buckets,complete,total_size_mb
1,3,"heavy,high,medium",,True,8.300442695617676
2,3,"heavy,high,medium",,True,8.310202598571777
3,3,"heavy,high,medium",,True,8.295578002929688
4,3,"heavy,high,medium",,True,8.274402618408203
5,3,"heavy,high,medium",,True,8.303887367248535
6,3,"heavy,high,medium",,True,8.226892471313477
7,3,"heavy,high,medium",,True,8.283102035522461
8,3,"heavy,high,medium",,True,8.204117774963379
9,3,"heavy,high,medium",,True,8.212187767028809
10,3,"heavy,high,medium",,True,8.233221054077148
11,3,"heavy,high,medium",,True,8.150014877319336
12,3,"heavy,high,medium",,True,8.167698860168457
13,3,"heavy,high,medium",,True,8.25274658203125
14,3,"heavy,high,medium",,True,8.25582218170166
15,3,"heavy,high,medium",,True,8.17436408996582
16,3,"heavy,high,medium",,True,8.228517532348633
17,3,"heavy,high,medium",,True,8.219027519226074
18,3,"heavy,high,medium",,True,8.244353294372559
19,3,"heavy,high,medium",,True,8.208256721496582
20,3,"heavy,high,medium",,True,8.161949157714844
21,3,"heavy,high,medium",,True,8.246753692626953
22,3,"heavy,high,medium",,True,8.161783218383789
23,3,"heavy,high,medium",,True,8.250232696533203
24,3,"heavy,high,medium",,True,8.140430450439453
25,3,"heavy,high,medium",,True,8.16336727142334
26,3,"heavy,high,medium",,True,8.169581413269043
27,3,"heavy,high,medium",,True,8.224985122680664
28,3,"heavy,high,medium",,True,8.151777267456055
29,3,"heavy,high,medium",,True,8.184523582458496
30,3,"heavy,high,medium",,True,8.154050827026367
31,3,"heavy,high,medium",,True,8.167341232299805
32,3,"heavy,high,medium",,True,8.206326484680176
33,3,"heavy,high,medium",,True,8.128758430480957
34,3,"heavy,high,medium",,True,8.145675659179688
35,3,"heavy,high,medium",,True,8.174613952636719
36,3,"heavy,high,medium",,True,8.127371788024902
37,3,"heavy,high,medium",,True,8.156185150146484
38,3,"heavy,high,medium",,True,8.193867683410645
39,3,"heavy,high,medium",,True,8.15280532836914
40,3,"heavy,high,medium",,True,8.22037410736084
41,3,"heavy,high,medium",,True,8.137961387634277
42,3,"heavy,high,medium",,True,8.151885032653809
43,3,"heavy,high,medium",,True,8.16641902923584
44,3,"heavy,high,medium",,True,8.147035598754883
45,3,"heavy,high,medium",,True,8.12972354888916
46,3,"heavy,high,medium",,True,8.10051441192627
47,3,"heavy,high,medium",,True,8.214266777038574
48,3,"heavy,high,medium",,True,8.135281562805176
49,3,"heavy,high,medium",,True,8.137158393859863
50,3,"heavy,high,medium",,True,8.134422302246094
