epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,6.737669693949755,6.737669693949755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06737669672395476,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,val,5.557401275092905,5.557401275092905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05557401266626336,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,train,5.649891393264864,5.649891393264864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05649891388616795,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,val,5.282557406208732,5.282557406208732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052825573704798116,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,train,5.334845441561591,5.334845441561591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05334845447303323,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,val,5.005910721692172,5.005910721692172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050059106666594744,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
4,train,5.232428035969399,5.232428035969399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05232428034214981,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
4,val,4.687610832127658,4.687610832127658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687610827386379,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
5,train,5.242949138723017,5.134929742288152,0.10801940464873197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050735406702902705,0.3836818047619741,0.0,0.0,0.18003233362684193,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.16,0.0,0.0,0.6
5,val,4.595728860660032,4.488460687073794,0.10726819390600378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04430338638749989,0.36326306516473944,0.0,0.0,0.1787803168831901,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.16,0.0,0.0,0.6
