epoch,split,total,recon_total,gan_total,pixel_total,perceptual_total,cloud_l1,cloud_l1_missing,cloud_l1_known,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_cloud_l1,w_cloud_l1_missing,w_cloud_l1_known,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,0.2784729724407619,0.2784729724407619,0.0,0.2784729724407619,0.0,0.0,0.0,0.027847297312383414,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1,val,0.23763455251570453,0.23763455251570453,0.0,0.23763455251570453,0.0,0.0,0.0,0.02376345508541404,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2,train,0.21013528455386296,0.21013528455386296,0.0,0.21013528455386296,0.0,0.0,0.0,0.021013528485478057,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2,val,0.19769218402110378,0.19769218402110378,0.0,0.19769218402110378,0.0,0.0,0.0,0.019769218279345132,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
3,train,0.1999645775030239,0.1999645775030239,0.0,0.1999645775030239,0.0,0.0,0.0,0.019996457809311072,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
3,val,0.18483334458009762,0.18483334458009762,0.0,0.18483334458009762,0.0,0.0,0.0,0.01848333440482913,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
4,train,0.1904836938259354,0.1904836938259354,0.0,0.1904836938259354,0.0,0.0,0.0,0.019048369420989236,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
4,val,0.18038309997857802,0.18038309997857802,0.0,0.18038309997857802,0.0,0.0,0.0,0.018038309921394102,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
5,train,0.18150832878651102,0.18150832878651102,0.0,0.18150832878651102,0.0,0.0,0.0,0.01815083295217165,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
5,val,0.18483388141877102,0.18483388141877102,0.0,0.18483388141877102,0.0,0.0,0.0,0.018483387948931937,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
6,train,0.17803898972775276,0.17803898972775276,0.0,0.17803898972775276,0.0,0.0,0.0,0.017803898990344375,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
6,val,0.1701387308633209,0.1701387308633209,0.0,0.1701387308633209,0.0,0.0,0.0,0.017013873062916737,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
7,train,0.17654276281753298,0.17654276281753298,0.0,0.17654276281753298,0.0,0.0,0.0,0.01765427625584021,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
7,val,0.18247433975656432,0.18247433975656432,0.0,0.18247433975656432,0.0,0.0,0.0,0.01824743392882572,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
8,train,0.17426014423302008,0.17426014423302008,0.0,0.17426014423302008,0.0,0.0,0.0,0.01742601450784997,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
8,val,0.17483055993745272,0.17483055993745272,0.0,0.17483055993745272,0.0,0.0,0.0,0.01748305592164715,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
9,train,0.17130603467022418,0.17130603467022418,0.0,0.17130603467022418,0.0,0.0,0.0,0.017130603504083075,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
9,val,0.17464619423051111,0.17464619423051111,0.0,0.17464619423051111,0.0,0.0,0.0,0.017464619319732512,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
10,train,0.17295568235380865,0.17295568235380865,0.0,0.17295568235380865,0.0,0.0,0.0,0.01729556827762147,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
10,val,0.16498597434044562,0.16498597434044562,0.0,0.16498597434044562,0.0,0.0,0.0,0.016498597319613593,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
11,train,0.1672549156959109,0.1672549156959109,0.0,0.1672549156959109,0.0,0.0,0.0,0.016725491578562544,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
11,val,0.18347934885373848,0.18347934885373848,0.0,0.18347934885373848,0.0,0.0,0.0,0.018347934779409446,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
12,train,0.1688991941152773,0.1688991941152773,0.0,0.1688991941152773,0.0,0.0,0.0,0.01688991944770726,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
12,val,0.16599676017755305,0.16599676017755305,0.0,0.16599676017755305,0.0,0.0,0.0,0.016599675837576135,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
13,train,0.16831002377001397,0.16831002377001397,0.0,0.16831002377001397,0.0,0.0,0.0,0.016831002439200823,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
13,val,0.17877717203439467,0.17877717203439467,0.0,0.17877717203439467,0.0,0.0,0.0,0.01787771710157606,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
14,train,0.1654290240941518,0.1654290240941518,0.0,0.1654290240941518,0.0,0.0,0.0,0.01654290246863747,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
14,val,0.16851606586186046,0.16851606586186046,0.0,0.16851606586186046,0.0,0.0,0.0,0.016851606616745066,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
15,train,0.16569237893878763,0.16569237893878763,0.0,0.16569237893878763,0.0,0.0,0.0,0.016569237887270327,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,10.0,0.0,0.0,100.0,0.0
