epoch,split,total,recon_total,gan_total,pixel_total,perceptual_total,cloud_l1,cloud_l1_missing,cloud_l1_known,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_cloud_l1,w_cloud_l1_missing,w_cloud_l1_known,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,4.541386990372194,4.541386990372194,0.0,4.541386990372194,0.0,0.0,0.15137956630928437,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
1,val,3.7980914444758973,3.7980914444758973,0.0,3.7980914444758973,0.0,0.0,0.12660304829478264,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2,train,2.582163106684291,2.582163106684291,0.0,2.582163106684291,0.0,0.0,0.08607210361880083,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2,val,2.3816828491358923,2.3816828491358923,0.0,2.3816828491358923,0.0,0.0,0.07938942820604505,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
3,train,2.3866754296358206,2.3866754296358206,0.0,2.3866754296358206,0.0,0.0,0.07955584760516062,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
3,val,2.1185296023714133,2.1185296023714133,0.0,2.1185296023714133,0.0,0.0,0.0706176535579665,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
4,train,2.2841142264254595,2.2841142264254595,0.0,2.2841142264254595,0.0,0.0,0.07613714097141763,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
4,val,2.359754915895133,2.359754915895133,0.0,2.359754915895133,0.0,0.0,0.07865849741060159,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.0
5,train,2.471123294272554,2.471123294272554,0.0,2.254056463365526,0.2170668415303715,0.0,0.07513521555298512,0.0,0.0,0.0,0.0,0.27133354713246,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.8
5,val,2.218867952453679,2.218867952453679,0.0,2.005396142088134,0.21347181511850194,0.0,0.06684653804605377,0.0,0.0,0.0,0.0,0.2668397644984311,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,0.8
