split,bucket,sample_id,png_path,cloudy_s2_path,target_path,omnicloudmask_class_path,omnicloudmask_cld_shdw_path,official_cld_shdw_path,omni_cloud_frac,omni_shadow_frac,omni_damage_frac,official_cloud_frac,official_shadow_frac,official_damage_frac,damage_diff_frac
train,heavy,roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi100315/2022_4/s2_toa/roi100315_s2_toa_2022_4_25_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi100315/2022_4/s2_toa/roi100315_s2_toa_2022_4_20_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi100315/2022_4/cld_shdw/roi100315_cld_shdw_2022_4_25_median.tif,0.963409423828125,0.036590576171875,1.0,0.9886932373046875,0.0,0.9886932373046875,0.0113067626953125
train,heavy,roi128630_2022-09-22_2022-10-07_roi128630_s2_toa_2022_10_7_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi128630_2022-09-22_2022-10-07_roi128630_s2_toa_2022_10_7_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi128630/2022_10/s2_toa/roi128630_s2_toa_2022_10_7_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi128630/2022_10/s2_toa/roi128630_s2_toa_2022_10_2_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi128630_2022-09-22_2022-10-07_roi128630_s2_toa_2022_10_7_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi128630_2022-09-22_2022-10-07_roi128630_s2_toa_2022_10_7_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi128630/2022_10/cld_shdw/roi128630_cld_shdw_2022_10_7_median.tif,0.9904632568359375,0.0095367431640625,1.0,1.0,0.0,1.0,0.0
train,heavy,roi133420_2022-04-23_2022-05-08_roi133420_s2_toa_2022_4_23_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi133420_2022-04-23_2022-05-08_roi133420_s2_toa_2022_4_23_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi133420/2022_4/s2_toa/roi133420_s2_toa_2022_4_23_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi133420/2022_4/s2_toa/roi133420_s2_toa_2022_4_28_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi133420_2022-04-23_2022-05-08_roi133420_s2_toa_2022_4_23_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi133420_2022-04-23_2022-05-08_roi133420_s2_toa_2022_4_23_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi133420/2022_4/cld_shdw/roi133420_cld_shdw_2022_4_23_median.tif,0.9901580810546875,0.0098419189453125,1.0,1.0,0.0,1.0,0.0
train,heavy,roi13501_2022-11-11_2022-11-26_roi13501_s2_toa_2022_11_21_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi13501_2022-11-11_2022-11-26_roi13501_s2_toa_2022_11_21_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13501/2022_11/s2_toa/roi13501_s2_toa_2022_11_21_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13501/2022_11/s2_toa/roi13501_s2_toa_2022_11_16_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi13501_2022-11-11_2022-11-26_roi13501_s2_toa_2022_11_21_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi13501_2022-11-11_2022-11-26_roi13501_s2_toa_2022_11_21_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13501/2022_11/cld_shdw/roi13501_cld_shdw_2022_11_21_median.tif,1.0,0.0,1.0,1.0,0.0,1.0,0.0
train,heavy,roi13889_2022-02-20_2022-02-28_roi13889_s2_toa_2022_2_23_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi13889_2022-02-20_2022-02-28_roi13889_s2_toa_2022_2_23_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_2/s2_toa/roi13889_s2_toa_2022_2_23_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_2/s2_toa/roi13889_s2_toa_2022_2_25_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi13889_2022-02-20_2022-02-28_roi13889_s2_toa_2022_2_23_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi13889_2022-02-20_2022-02-28_roi13889_s2_toa_2022_2_23_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_2/cld_shdw/roi13889_cld_shdw_2022_2_23_median.tif,0.98187255859375,0.0181121826171875,0.9999847412109375,1.0,0.0,1.0,1.52587890625e-05
train,heavy,roi13889_2022-09-01_2022-09-08_roi13889_s2_toa_2022_9_8_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi13889_2022-09-01_2022-09-08_roi13889_s2_toa_2022_9_8_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_9/s2_toa/roi13889_s2_toa_2022_9_8_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_9/s2_toa/roi13889_s2_toa_2022_9_6_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi13889_2022-09-01_2022-09-08_roi13889_s2_toa_2022_9_8_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi13889_2022-09-01_2022-09-08_roi13889_s2_toa_2022_9_8_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi13889/2022_9/cld_shdw/roi13889_cld_shdw_2022_9_8_median.tif,0.9715423583984375,0.0284576416015625,1.0,1.0,0.0,1.0,0.0
train,heavy,roi140210_2022-07-19_2022-08-03_roi140210_s2_toa_2022_7_19_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi140210_2022-07-19_2022-08-03_roi140210_s2_toa_2022_7_19_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi140210/2022_7/s2_toa/roi140210_s2_toa_2022_7_19_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi140210/2022_7/s2_toa/roi140210_s2_toa_2022_7_29_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi140210_2022-07-19_2022-08-03_roi140210_s2_toa_2022_7_19_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi140210_2022-07-19_2022-08-03_roi140210_s2_toa_2022_7_19_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi140210/2022_7/cld_shdw/roi140210_cld_shdw_2022_7_19_median.tif,0.633819580078125,0.36572265625,0.999542236328125,0.9454803466796875,0.480804443359375,1.0,0.000457763671875
train,heavy,roi145406_2022-06-27_2022-07-12_roi145406_s2_toa_2022_6_27_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi145406_2022-06-27_2022-07-12_roi145406_s2_toa_2022_6_27_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi145406/2022_6/s2_toa/roi145406_s2_toa_2022_6_27_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi145406/2022_7/s2_toa/roi145406_s2_toa_2022_7_7_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi145406_2022-06-27_2022-07-12_roi145406_s2_toa_2022_6_27_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi145406_2022-06-27_2022-07-12_roi145406_s2_toa_2022_6_27_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi145406/2022_6/cld_shdw/roi145406_cld_shdw_2022_6_27_median.tif,0.9910736083984375,0.0089263916015625,1.0,1.0,0.0,1.0,0.0
train,heavy,roi146851_2022-06-14_2022-06-29_roi146851_s2_toa_2022_6_14_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi146851_2022-06-14_2022-06-29_roi146851_s2_toa_2022_6_14_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi146851/2022_6/s2_toa/roi146851_s2_toa_2022_6_14_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi146851/2022_6/s2_toa/roi146851_s2_toa_2022_6_24_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi146851_2022-06-14_2022-06-29_roi146851_s2_toa_2022_6_14_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi146851_2022-06-14_2022-06-29_roi146851_s2_toa_2022_6_14_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi146851/2022_6/cld_shdw/roi146851_cld_shdw_2022_6_14_median.tif,0.9896392822265625,0.0103607177734375,1.0,1.0,0.0,1.0,0.0
train,heavy,roi152252_2022-02-03_2022-02-18_roi152252_s2_toa_2022_2_3_median,/home/students/sushaoqi/CR/main/outputs/allclear/omnicloudmask_visual_audit_low300_mh1000/train/heavy/roi152252_2022-02-03_2022-02-18_roi152252_s2_toa_2022_2_3_median.png,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi152252/2022_2/s2_toa/roi152252_s2_toa_2022_2_3_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi152252/2022_2/s2_toa/roi152252_s2_toa_2022_2_13_median.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/class_masks/train/roi152252_2022-02-03_2022-02-18_roi152252_s2_toa_2022_2_3_median_omnicloudmask_class.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/omnicloudmask_v4_low300_mh1000/cld_shdw/train/roi152252_2022-02-03_2022-02-18_roi152252_s2_toa_2022_2_3_median_omnicloudmask_cld_shdw.tif,/home/students/sushaoqi/CR/allclear_10pct_tx3_s2_s1_bucketed/data/roi152252/2022_2/cld_shdw/roi152252_cld_shdw_2022_2_3_median.tif,0.751373291015625,0.161773681640625,0.91314697265625,0.9972991943359375,0.0,0.9972991943359375,0.0859222412109375
