sample_id,shadow_case,shadow_case_name,cloud_bucket,cloud_frac,shadow_frac,clear_frac,division_pos_frac,bbox_valid,bbox_area_frac,division_clear_leakage,division_cloud_leakage
roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median,2,ambiguous,high,0.9886932373046875,0.0,0.0113067626953125,0.02069091796875,1.0,0.4619903564453125,0.42240217328071594,0.016096921637654305
roi102518_2022-08-03_2022-08-18_roi102518_s2_toa_2022_8_8_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi107588_2022-12-11_2022-12-26_roi107588_s2_toa_2022_12_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi109808_2022-10-17_2022-11-01_roi109808_s2_toa_2022_10_27_median,0,no_shadow,high,0.9544525146484375,0.0009002685546875,0.044647216796875,0.0009002685546875,1.0,0.0904541015625,0.003759398590773344,0.0007673738291487098
roi111774_2022-12-11_2022-12-26_roi111774_s2_toa_2022_12_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi112316_2022-11-21_2022-12-06_roi112316_s2_toa_2022_11_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi113442_2022-01-30_2022-02-14_roi113442_s2_toa_2022_1_30_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi117488_2022-05-11_2022-05-26_roi117488_s2_toa_2022_5_16_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi121522_2022-08-13_2022-08-28_roi121522_s2_toa_2022_8_18_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi121522_2022-09-22_2022-10-07_roi121522_s2_toa_2022_10_7_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
