sample_id,has_offline_division_mask,has_offline_bbox,cloud_frac,shadow_frac,clear_frac,cloud_bucket,division_min,division_max,division_mean,division_pos_frac,division_hard_frac,division_soft_frac,division_shadow_precision_dilated,division_shadow_recall,division_shadow_iou,division_cloud_leakage,division_clear_leakage,division_outside_bbox_frac,bbox_valid,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_frac,bbox_shadow_recall,bbox_division_recall,bbox_cloud_frac_inside,bbox_clear_frac_inside,boundary_iou,reference_target_mae_full,reference_target_mae_shadow,reference_target_mae_bbox,reference_target_corr_shadow,online_target_mae_full,online_target_mae_shadow,online_target_mae_bbox,online_target_corr_shadow
roi100315_2022-04-18_2022-04-25_roi100315_s2_toa_2022_4_25_median,1,1,0.9886932373046875,0.0,0.0113067626953125,high,0.0,0.5899999737739563,0.005639038514345884,0.02069091796875,0.0012054443359375,0.02069091796875,0.0,nan,0.0,0.01609692105872367,0.4224021592442645,0.0,1,112.0,0.0,248.0,220.0,0.4619903564453125,nan,1.0,0.978630643722958,0.02136935627704198,0.0,0.0034274267964065075,nan,0.007418827576354886,nan,0.0034274267964065075,nan,0.007418827576354886,nan
roi102518_2022-08-03_2022-08-18_roi102518_s2_toa_2022_8_8_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi107588_2022-12-11_2022-12-26_roi107588_s2_toa_2022_12_11_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi109808_2022-10-17_2022-11-01_roi109808_s2_toa_2022_10_27_median,1,1,0.9544525146484375,0.0009002685546875,0.044647216796875,high,0.0,0.1899999976158142,0.00013259888510219753,0.0009002685546875,0.0,0.0009002685546875,0.05084745762711865,0.0,0.0,0.0007673738229604642,0.0037593984962406013,0.0,1,158.0,119.0,233.0,196.0,0.0904541015625,1.0,1.0,0.8982793522267206,0.09176788124156546,0.0,8.072516357060522e-05,0.0,0.0008924433737792145,0.0,8.072516357060522e-05,0.0,0.0008924433737792145,0.0
roi111774_2022-12-11_2022-12-26_roi111774_s2_toa_2022_12_11_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi112316_2022-11-21_2022-12-06_roi112316_s2_toa_2022_11_21_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi113442_2022-01-30_2022-02-14_roi113442_s2_toa_2022_1_30_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi117488_2022-05-11_2022-05-26_roi117488_s2_toa_2022_5_16_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi121522_2022-08-13_2022-08-28_roi121522_s2_toa_2022_8_18_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
roi121522_2022-09-22_2022-10-07_roi121522_s2_toa_2022_10_7_median,1,1,1.0,0.0,0.0,high,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,1,0.0,0.0,255.0,255.0,1.0,nan,nan,1.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
